created,num_users,num_views,segment
2017-02-28T071027,33,40,174
2017-02-28T071027,33,41,175
2017-02-28T071027,34,43,176
2017-02-28T071027,34,42,177
2017-02-28T071027,34,47,178
2017-02-28T071027,34,39,179
2017-02-28T071027,35,42,180
2017-02-28T071027,35,42,181
2017-02-28T071027,35,42,182
2017-02-28T071027,35,41,183
2017-02-28T071027,36,43,184
2017-02-28T071027,36,44,185
2017-02-28T071027,35,41,186
2017-02-28T071027,35,44,187
2017-02-28T071027,36,47,188
2017-02-28T071027,35,46,189
2017-02-28T071027,35,47,190
2017-02-28T071027,35,49,191
2017-02-28T071027,35,45,192
2017-02-28T071027,35,44,193
2017-02-28T071027,35,47,194
2017-02-28T071027,35,45,195
2017-02-28T071027,36,41,196
2017-02-28T071027,36,42,197
2017-02-28T071027,36,42,198
2017-02-28T071027,36,42,199
2017-02-28T071027,36,43,200
2017-02-28T071027,36,44,201
2017-02-28T071027,36,45,202
2017-02-28T071027,36,43,203
2017-02-28T071027,36,45,204
2017-02-28T071027,36,43,205
2017-02-28T071027,36,43,206
2017-02-28T071027,36,47,207
2017-02-28T071027,37,43,208
2017-02-28T071027,37,46,209
2017-02-28T071027,37,45,210
2017-02-28T071027,37,45,211
2017-02-28T071027,36,47,212
2017-02-28T071027,35,44,213
2017-02-28T071027,36,48,214
2017-02-28T071027,36,45,215
2017-02-28T071027,36,46,216
2017-02-28T071027,36,47,217
2017-02-28T071027,37,54,218
2017-02-28T071027,37,51,219
2017-02-28T071027,36,54,220
2017-02-28T071027,37,53,221
2017-02-28T071027,35,49,222
2017-02-28T071027,35,48,223
2017-02-28T071027,35,48,224
2017-02-28T071027,35,50,225
2017-02-28T071027,35,47,226
2017-02-28T071027,35,45,227
2017-02-28T071027,35,46,228
2017-02-28T071027,34,41,229
